Id;Name;Number;JobTitle;EmployeeNumber;PhoneNumber;EmailAddress;Description;SalesTeamId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
0c10c26a-967a-4e71-a90f-b2aa03fbfe09;Rep 2 - Closing Crew;000220250324SR;Sales Representative;EMP-5969;+1716-554-1952;salesrep2@company.com;Sales Rep for Closing Crew;0fdab04e-8d91-4c2b-9779-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
0f371335-e4e2-4412-a0f0-b2aa03fbff46;Rep 2 - Growth Gurus;002720250324SR;Sales Representative;EMP-5840;+1276-682-7921;salesrep2@company.com;Sales Rep for Growth Gurus;ba4c358b-a997-4df2-b4c4-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
0fe9acf0-4c47-41f0-bca9-b2aa03fbffcd;Rep 3 - Sales Savants;003820250324SR;Sales Representative;EMP-1163;+1419-212-7277;salesrep3@company.com;Sales Rep for Sales Savants;e55ebd5e-2201-45e1-8714-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
13e890ba-bcde-433a-9b2a-b2aa03fc0029;Rep 5 - Deal Makers;005020250324SR;Sales Representative;EMP-1625;+1145-525-5119;salesrep5@company.com;Sales Rep for Deal Makers;f7d2c56c-9188-4a28-a240-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
15d2e813-775f-4777-970c-b2aa03fc0024;Rep 4 - Deal Makers;004920250324SR;Sales Representative;EMP-9282;+1427-942-8081;salesrep4@company.com;Sales Rep for Deal Makers;f7d2c56c-9188-4a28-a240-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
1780ecd6-fbc4-4a1f-add8-b2aa03fc0017;Rep 1 - Deal Makers;004620250324SR;Sales Manager;EMP-4386;+1979-308-8180;salesrep1@company.com;Sales Rep for Deal Makers;f7d2c56c-9188-4a28-a240-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
1e7ede26-23bb-4d1d-8ecb-b2aa03fbfe7f;Rep 1 - Profit Pioneers;001120250324SR;Sales Manager;EMP-2649;+1220-567-4087;salesrep1@company.com;Sales Rep for Profit Pioneers;3141d230-1d88-47ee-9721-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
236cff52-aafd-4e67-bd7f-b2aa03fbff84;Rep 2 - The Persuaders;003220250324SR;Sales Representative;EMP-4971;+1293-293-1992;salesrep2@company.com;Sales Rep for The Persuaders;e4e96285-88c8-49a0-b683-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
2650a4ef-c10b-460a-bbff-b2aa03fbff14;Rep 3 - Sales Ninjas;002320250324SR;Sales Representative;EMP-9923;+1624-197-9099;salesrep3@company.com;Sales Rep for Sales Ninjas;61b8d821-f160-426b-9727-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
2f71f9ac-e290-4bb5-91b2-b2aa03fc0013;Rep 5 - Market Mavens;004520250324SR;Sales Representative;EMP-6893;+1762-521-9908;salesrep5@company.com;Sales Rep for Market Mavens;f1cb0a7d-1076-44c2-b826-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
35c84cd3-b336-4ec9-9238-b2aa03fbfe35;Rep 5 - Closing Crew;000520250324SR;Sales Representative;EMP-1080;+1488-954-3573;salesrep5@company.com;Sales Rep for Closing Crew;0fdab04e-8d91-4c2b-9779-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
374829cb-c669-4be0-9393-b2aa03fc0008;Rep 3 - Market Mavens;004320250324SR;Sales Representative;EMP-4588;+1739-577-2808;salesrep3@company.com;Sales Rep for Market Mavens;f1cb0a7d-1076-44c2-b826-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
3962a367-953b-4789-a1d5-b2aa03fbfeb0;Rep 5 - Profit Pioneers;001520250324SR;Sales Representative;EMP-7856;+1570-955-9732;salesrep5@company.com;Sales Rep for Profit Pioneers;3141d230-1d88-47ee-9721-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
3b626179-6bda-43d4-b298-b2aa03fbfe8b;Rep 2 - Profit Pioneers;001220250324SR;Sales Representative;EMP-7825;+1534-193-4375;salesrep2@company.com;Sales Rep for Profit Pioneers;3141d230-1d88-47ee-9721-b2aa03fbfdd2;False;2025-03-24 18:34:06;;;
