Id;LeadId;Number;FullName;Description;AddressStreet;AddressCity;AddressState;AddressZipCode;AddressCountry;PhoneNumber;FaxNumber;MobileNumber;Email;Website;WhatsApp;LinkedIn;Facebook;Twitter;Instagram;AvatarName;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
049c25ca-e6e3-403c-a34b-b2aa03fc1a1e;54b1e895-79e5-4ced-ad01-b2aa03fc14d9;005620250324LC;Contact 5717;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1367-195-1834;+1736-627-7833;+1338-201-3301;contact2142@company.com;www.contact5601.com;+1254-700-5105;linkedin.com/in/contact1789;facebook.com/contact5293;twitter.com/contact6815;instagram.com/contact6072;avatar_67.jpg;False;2025-03-24 18:34:13;;;
0ce0cdbf-b9ef-41b0-89fc-b2aa03fc18cb;df871dbe-d867-470f-8f0c-b2aa03fc1656;000720250324LC;Contact 6394;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1800-943-4343;+1898-997-2829;+1545-771-4000;contact3307@company.com;www.contact2297.com;+1382-765-3518;linkedin.com/in/contact7563;facebook.com/contact6423;twitter.com/contact2516;instagram.com/contact4268;avatar_29.jpg;False;2025-03-24 18:34:13;;;
0d5dc50c-cb6d-47dc-92b7-b2aa03fc19a7;e2e1045d-4772-4fd9-bac6-b2aa03fc11ed;003820250324LC;Contact 3685;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1196-169-2354;+1601-578-4661;+1714-697-8096;contact8542@company.com;www.contact3761.com;+1765-560-3279;linkedin.com/in/contact8405;facebook.com/contact8695;twitter.com/contact5736;instagram.com/contact8528;avatar_98.jpg;False;2025-03-24 18:34:13;;;
163581e2-a415-449f-9323-b2aa03fc19e5;816a9cf7-1edc-4230-9bc4-b2aa03fc1470;004720250324LC;Contact 2169;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1365-738-8210;+1250-439-3885;+1104-309-3198;contact1969@company.com;www.contact6145.com;+1639-831-1526;linkedin.com/in/contact8799;facebook.com/contact4805;twitter.com/contact8347;instagram.com/contact9462;avatar_69.jpg;False;2025-03-24 18:34:13;;;
171b6422-4c53-4c9a-935c-b2aa03fc18ec;bf3c5f8d-1720-45c6-a322-b2aa03fc13cc;001220250324LC;Contact 5434;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1396-579-8257;+1946-637-5100;+1758-327-6154;contact9420@company.com;www.contact8775.com;+1108-612-5102;linkedin.com/in/contact3777;facebook.com/contact2692;twitter.com/contact4899;instagram.com/contact2521;avatar_91.jpg;False;2025-03-24 18:34:13;;;
1c4100f6-9a45-4692-82ee-b2aa03fc1a28;1ec3ff39-219e-45cc-9b48-b2aa03fc12e1;005720250324LC;Contact 8443;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1965-782-6206;+1188-258-2015;+1115-259-9770;contact8251@company.com;www.contact6854.com;+1103-962-2579;linkedin.com/in/contact7455;facebook.com/contact2509;twitter.com/contact7658;instagram.com/contact7388;avatar_27.jpg;False;2025-03-24 18:34:13;;;
1e40da9d-7e44-49fc-b652-b2aa03fc18f2;0f45fab5-42ec-4095-a937-b2aa03fc1177;001320250324LC;Contact 7611;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1184-745-5682;+1974-787-1456;+1368-943-8888;contact3359@company.com;www.contact7281.com;+1305-282-1395;linkedin.com/in/contact2407;facebook.com/contact9719;twitter.com/contact5276;instagram.com/contact9554;avatar_61.jpg;False;2025-03-24 18:34:13;;;
20bfa26d-1d71-4f40-8a4a-b2aa03fc18ff;16e02452-2a99-41c5-aa46-b2aa03fc17b4;001520250324LC;Contact 1138;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1314-288-1929;+1201-203-5067;+1369-884-6150;contact1101@company.com;www.contact5862.com;+1793-521-7664;linkedin.com/in/contact8393;facebook.com/contact5545;twitter.com/contact2546;instagram.com/contact6225;avatar_40.jpg;False;2025-03-24 18:34:13;;;
298652e1-eaba-4867-bc07-b2aa03fc19ef;f6f1c90e-ebcb-447e-9040-b2aa03fc1716;004920250324LC;Contact 2165;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1956-737-3647;+1928-861-5959;+1866-347-3403;contact8255@company.com;www.contact1653.com;+1187-389-2387;linkedin.com/in/contact4851;facebook.com/contact1581;twitter.com/contact3068;instagram.com/contact6200;avatar_84.jpg;False;2025-03-24 18:34:13;;;
31b566dc-694e-4195-b673-b2aa03fc192a;26aeeca9-351f-4590-b47a-b2aa03fc1764;002120250324LC;Contact 9466;Sample contact description;456 Elm St;Anytown;State;67890;Country;+1942-718-8712;+1393-778-3421;+1329-633-3833;contact9596@company.com;www.contact3510.com;+1259-514-8468;linkedin.com/in/contact8941;facebook.com/contact2115;twitter.com/contact6352;instagram.com/contact6713;avatar_19.jpg;False;2025-03-24 18:34:13;;;
