Id;FirstName;LastName;CompanyName;ProfilePictureName;IsBlocked;IsDeleted;CreatedAt;CreatedById;UpdatedAt;UpdatedById;UserName;NormalizedUserName;Email;NormalizedEmail;EmailConfirmed;PasswordHash;SecurityStamp;ConcurrencyStamp;PhoneNumber;PhoneNumberConfirmed;TwoFactorEnabled;LockoutEnd;LockoutEnabled;AccessFailedCount
06a13c8b-6326-49f0-9ac1-c09a748321ee;Jamie;User;;;False;False;2025-03-24 18:34:01;;;;jamie@example.com;JAMIE@EXAMPLE.COM;jamie@example.com;JAMIE@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEG/KXSq9vDyVPvROgUnlZYSOonra8rEe1WhF2mSaL2iYTK3q4OwaNO0oNHvFve0Hsw==;HGP7WNL2EM2N7LITRDTX6O7WLEAIJMJ2;cbcfc945-90d2-473c-afe3-80d5d217d8f5;;False;False;;True;0
41924b24-3b3b-4f87-bec3-695e35b78166;Peyton;User;;;False;False;2025-03-24 18:34:01;;;;peyton@example.com;PEYTON@EXAMPLE.COM;peyton@example.com;PEYTON@EXAMPLE.COM;True;AQAAAAIAAYagAAAAECznQUQ1EAB8wxemPEnuXAUH0M2J4LnD5TQ0DL+LGlnTgfzSLzBzxBcz1WTsG+LPgQ==;VZHFQKYMR527XYRBD5A3F3736KCEBARL;e3e7fc86-84b4-41e3-8260-b08c3b4e6695;;False;False;;True;0
47dc7bbd-ea98-478c-90a2-d23ac3122670;Alex;User;;;False;False;2025-03-24 18:34:01;;;;alex@example.com;ALEX@EXAMPLE.COM;alex@example.com;ALEX@EXAMPLE.COM;True;AQAAAAIAAYagAAAAECmXN979cDJMSrj2/Lu63PQwLOZuGHN5cuGu+H6C7YW2Xxai3CPPBblREhLRHdJCiA==;63GEF3DVZDDWTN5AWWS2DX3TMRKSCVU6;b7275747-7ab9-4271-9b64-d57cfe431cdb;;False;False;;True;0
4942fa97-c5d6-4a78-8bee-72c13cb5d130;Finley;User;;;False;False;2025-03-24 18:34:02;;;;finley@example.com;FINLEY@EXAMPLE.COM;finley@example.com;FINLEY@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEOVJtOmDsknNqrrhlfEzkaT+fuQdmg4d50XcybO5iCCi2FiV+fZk2qpH6pwMSpQk0w==;7KT6DUP5KPNX4I32CFVTXBOG4MQMNC6M;088feabb-737c-4369-8a00-6a39b1eb191d;;False;False;;True;0
4fafd540-e41a-480f-b6fc-e1f17dd31eb4;Taylor;User;;;False;False;2025-03-24 18:34:01;;;;taylor@example.com;TAYLOR@EXAMPLE.COM;taylor@example.com;TAYLOR@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEAjGhVyt6d/7p72V7ZJodvz4dyVzD49H12W2n5VneBeQcKc6ecn8QS390alvmC2caw==;VBZZSBI6SABBEK5FPCH6KHTFGM4DPFZX;ae480346-3b54-459c-bd48-88c4a82a36b1;;False;False;;True;0
5a331191-5bb9-490c-a255-1a0606d0b164;Rowan;User;;;False;False;2025-03-24 18:34:02;;;;rowan@example.com;ROWAN@EXAMPLE.COM;rowan@example.com;ROWAN@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEKLw/g/dLVUH1i2oDTzRwMT1fVz5wK/XbQoOtgWUtUivaMvTTsJINXzQtJT5z2ek2w==;RHGPI6OFK6FDVHHDQ37SR6AQTAI4YPST;d524446e-6489-453d-a0f4-fc93ebd51aea;;False;False;;True;0
5f6fdb95-6fe7-486c-bad8-a7e93451dc64;Avery;User;;;False;False;2025-03-24 18:34:02;;;;avery@example.com;AVERY@EXAMPLE.COM;avery@example.com;AVERY@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEI5CNvps5Ca+35IWhL4dK6HFgdjPW+06HyT6TaZf6qpUq8QPJO4oTLZhbN1CO92vIA==;C5JUCBXDG2TUROGY5LHAIRYUH2HGSNZV;0790e73a-f16d-42ed-80bd-cc3515074bc8;;False;False;;True;0
5fb5a003-65d3-45b4-a51a-0b1bedb4bcb9;Skyler;User;;;False;False;2025-03-24 18:34:02;;;;skyler@example.com;SKYLER@EXAMPLE.COM;skyler@example.com;SKYLER@EXAMPLE.COM;True;AQAAAAIAAYagAAAAELWKCxF+811Eoprz6nI+fqejlT5lrh9/UELQ3ZoZsHWuCRlAPamDCRBd+7T24EvOQQ==;CBGOC45HIRRMETVCMWEPH2GMGGS2FEWY;9f9432c4-65fe-4d46-bac8-bd62608adfcc;;False;False;;True;0
7f59276a-040a-4870-b3e6-5b7d3debc330;Casey;User;;;False;False;2025-03-24 18:34:01;;;;casey@example.com;CASEY@EXAMPLE.COM;casey@example.com;CASEY@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEG7H8N2uHJPWShe0xZo3mq5Jhfw5cHwog6upbM+f3D9OwPnnib06dqZv5J1scYDVJw==;TCFOKKOKC7CRALONEC6UCYWWQUFZRT4F;ecd83348-01b6-4953-ba13-ed97a591e279;;False;False;;True;0
84232432-61d9-42d3-901f-73050ebf1b72;Drew;User;;;False;False;2025-03-24 18:34:01;;;;drew@example.com;DREW@EXAMPLE.COM;drew@example.com;DREW@EXAMPLE.COM;True;AQAAAAIAAYagAAAAEMh0aFjJKM4o1IeAyZ9tkblX+ePTCni7gVuFs9wtMqrOfGajYtWtuz7F4+PHCDqfjA==;GUBOIQKU4FUOFZHGZAQEI6NDLYCRR5G4;e276eac4-1979-4995-b712-1fd89a859203;;False;False;;True;0
